"INDICATOR","HFA_13"

"HFA_13","% of population aged 65+ years, by sex"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"BGR","","ALL","1981","11.85"
"BGR","","ALL","1982","11.55"
"BGR","","ALL","1983","11.25"
"BGR","","ALL","1984","11.2"
"BGR","","ALL","1985","11.56"
"BGR","","ALL","1986","11.56"
"BGR","","ALL","1987","11.97"
"BGR","","ALL","1988","12.28"
"BGR","","ALL","1989","12.61"
"BGR","","ALL","1990","12.99"
"BGR","","ALL","1991","13.35"
"BGR","","ALL","1992","14.03"
"BGR","","ALL","1993","14.41"
"BGR","","ALL","1994","14.72"
"BGR","","ALL","1995","15.01"
"BGR","","ALL","1996","15.26"
"BGR","","ALL","1997","15.48"
"BGR","","ALL","1998","15.74"
"BGR","","ALL","1999","16.02"
"BGR","","ALL","2000","16.25"
"BGR","","ALL","2001","16.83"
"BGR","","ALL","2002","16.98"
"BGR","","ALL","2003","17.06"
"BGR","","ALL","2004","17.12"
"BGR","","ALL","2005","17.18"
"BGR","","ALL","2006","17.23"
"BGR","","ALL","2007","17.28"
"BGR","","ALL","2008","17.36"
"BGR","","ALL","2009","17.47"
"BGR","","ALL","2010","17.63"
"BGR","","ALL","2011","18.29"
"BGR","","ALL","2012","19"
"BGR","","ALL","2013","19.36"
"BGR","","ALL","2014","19.78"
"BGR","","ALL","2015","20.22"
"BGR","","ALL","2016","20.58"
"BGR","","ALL","2017","20.87"
"BGR","","ALL","2018","21.17"
"BGR","","ALL","2019","21.48"
"BGR","","ALL","2020","21.69"
"BGR","","ALL","2021","21.71"
"BIH","","ALL","1950","3.9"
"BIH","","ALL","1951","3.8"
"BIH","","ALL","1952","3.8"
"BIH","","ALL","1953","3.7"
"BIH","","ALL","1954","3.7"
"BIH","","ALL","1955","3.6"
"BIH","","ALL","1956","3.6"
"BIH","","ALL","1957","3.6"
"BIH","","ALL","1958","3.5"
"BIH","","ALL","1959","3.6"
"BIH","","ALL","1960","3.6"
"BIH","","ALL","1961","3.7"
"BIH","","ALL","1962","3.8"
"BIH","","ALL","1963","4"
"BIH","","ALL","1964","4.1"
"BIH","","ALL","1965","4.3"
"BIH","","ALL","1966","4.4"
"BIH","","ALL","1967","4.6"
"BIH","","ALL","1968","4.7"
"BIH","","ALL","1969","4.8"
"BIH","","ALL","1970","5"
"BIH","","ALL","1971","5.2"
"BIH","","ALL","1972","5.4"
"BIH","","ALL","1973","5.6"
"BIH","","ALL","1974","5.7"
"BIH","","ALL","1975","5.9"
"BIH","","ALL","1976","6.1"
"BIH","","ALL","1977","6.2"
"BIH","","ALL","1978","6.3"
"BIH","","ALL","1979","6.4"
"BIH","","ALL","1980","6.4"
"BIH","","ALL","1981","6.4"
"BIH","","ALL","1982","6.4"
"BIH","","ALL","1983","6.3"
"BIH","","ALL","1984","6.3"
"BIH","","ALL","1985","5.76"
"BIH","","ALL","1986","5.85"
"BIH","","ALL","1987","5.87"
"BIH","","ALL","1988","5.98"
"BIH","","ALL","1989","6.07"
"BIH","","ALL","1990","6.19"
"BIH","","ALL","1991","6.29"
"BIH","","ALL","1992","7.9"
"BIH","","ALL","1993","8.7"
"BIH","","ALL","1994","9.4"
"BIH","","ALL","1995","9.9"
"BIH","","ALL","1996","10"
"BIH","","ALL","1997","10.2"
"BIH","","ALL","1998","10.5"
"BIH","","ALL","1999","10.9"
"BIH","","ALL","2000","11.3"
"BIH","","ALL","2001","11.8"
"BIH","","ALL","2002","12.2"
"BIH","","ALL","2003","12.7"
"BIH","","ALL","2004","13.2"
"BIH","","ALL","2005","13.6"
"BIH","","ALL","2006","13.9"
"BIH","","ALL","2007","14.1"
"BIH","","ALL","2008","14.2"
"BIH","","ALL","2009","14.2"
"BIH","","ALL","2010","15.09"
"BIH","","ALL","2011","15.09"
"BIH","","ALL","2012","15.81"
"BIH","","ALL","2013","14.6"
"BIH","","ALL","2014","15.81"
"BIH","","ALL","2015","15.3"
"BIH","","ALL","2016","14.22"
"BIH","","ALL","2017","16.1"
"BIH","","ALL","2018","16.7"
"BIH","","ALL","2019","17.2"
"BIH","","ALL","2020","17.7"
"BIH","","ALL","2021","17.66"
"BIH","","ALL","2022","18.04"
"BLR","","ALL","1950","8.2"
"BLR","","ALL","1951","7.9"
"BLR","","ALL","1952","7.7"
"BLR","","ALL","1953","7.5"
"BLR","","ALL","1954","7.4"
"BLR","","ALL","1955","7.3"
"BLR","","ALL","1956","7.3"
"BLR","","ALL","1957","7.2"
"BLR","","ALL","1958","7.2"
"BLR","","ALL","1959","7.2"
"BLR","","ALL","1960","7.2"
"BLR","","ALL","1961","7.2"
"BLR","","ALL","1962","7.3"
"BLR","","ALL","1963","7.3"
"BLR","","ALL","1964","7.4"
"BLR","","ALL","1965","7.6"
"BLR","","ALL","1966","7.8"
"BLR","","ALL","1967","8"
"BLR","","ALL","1968","8.2"
"BLR","","ALL","1969","8.4"
"BLR","","ALL","1970","8.7"
"BLR","","ALL","1971","8.9"
"BLR","","ALL","1972","9.1"
"BLR","","ALL","1973","9.3"
"BLR","","ALL","1974","9.5"
"BLR","","ALL","1975","9.8"
"BLR","","ALL","1976","10"
"BLR","","ALL","1977","10.2"
"BLR","","ALL","1978","10.3"
"BLR","","ALL","1979","10.4"
"BLR","","ALL","1980","10.4"
"BLR","","ALL","1981","10.55"
"BLR","","ALL","1982","10.31"
"BLR","","ALL","1983","10.09"
"BLR","","ALL","1984","9.8"
"BLR","","ALL","1985","9.96"
"BLR","","ALL","1986","9.91"
"BLR","","ALL","1987","9.99"
"BLR","","ALL","1988","10.22"
"BLR","","ALL","1989","10.43"
"BLR","","ALL","1990","10.65"
"BLR","","ALL","1991","11.08"
"BLR","","ALL","1992","11.41"
"BLR","","ALL","1993","11.78"
"BLR","","ALL","1994","11.96"
"BLR","","ALL","1995","12.36"
"BLR","","ALL","1996","12.67"
"BLR","","ALL","1997","12.93"
"BLR","","ALL","1998","13.14"
"BLR","","ALL","1999","13.28"
"BLR","","ALL","2000","13.39"
"BLR","","ALL","2001","13.63"
"BLR","","ALL","2002","13.9"
"BLR","","ALL","2003","14.16"
"BLR","","ALL","2004","14.39"
"BLR","","ALL","2005","14.54"
"BLR","","ALL","2006","14.6"
"BLR","","ALL","2007","14.55"
"BLR","","ALL","2008","14.3"
"BLR","","ALL","2009","14"
"BLR","","ALL","2010","13.94"
"BLR","","ALL","2011","13.75"
"BLR","","ALL","2012","13.75"
"BLR","","ALL","2013","13.86"
"BLR","","ALL","2014","14.07"
"BLR","","ALL","2015","14.33"
"BLR","","ALL","2016","15.2"
"BLR","","ALL","2017","15.5"
"BLR","","ALL","2018","15.08"
"BLR","","ALL","2019","16.2"
"BLR","","ALL","2020","16.6"
"BLR","","ALL","2021","16.8"
"","CARINFONET","ALL","1980","4.98"
"","CARINFONET","ALL","1981","5.32"
"","CARINFONET","ALL","1982","5.2"
"","CARINFONET","ALL","1983","5.01"
"","CARINFONET","ALL","1984","4.47"
"","CARINFONET","ALL","1985","4.84"
"","CARINFONET","ALL","1986","4.73"
"","CARINFONET","ALL","1987","4.65"
"","CARINFONET","ALL","1988","4.59"
"","CARINFONET","ALL","1989","4.61"
"","CARINFONET","ALL","1990","4.67"
"","CARINFONET","ALL","1991","4.74"
"","CARINFONET","ALL","1992","4.83"
"","CARINFONET","ALL","1993","4.94"
"","CARINFONET","ALL","1994","4.99"
"","CARINFONET","ALL","1995","5.07"
"","CARINFONET","ALL","1996","5.01"
"","CARINFONET","ALL","1997","4.99"
"","CARINFONET","ALL","1998","4.97"
"","CARINFONET","ALL","1999","4.92"
"","CARINFONET","ALL","2000","4.92"
"","CARINFONET","ALL","2001","4.96"
"","CARINFONET","ALL","2002","5.09"
"","CARINFONET","ALL","2003","5.19"
"","CARINFONET","ALL","2004","5.29"
"","CARINFONET","ALL","2005","5.31"
"","CARINFONET","ALL","2006","5.51"
"","CARINFONET","ALL","2007","5.43"
"","CARINFONET","ALL","2008","5.34"
"","CARINFONET","ALL","2009","4.93"
"","CARINFONET","ALL","2010","4.68"
"","CARINFONET","ALL","2011","4.56"
"","CARINFONET","ALL","2012","4.54"
"","CARINFONET","ALL","2013","4.55"
"","CARINFONET","ALL","2014","4.6"
"","CARINFONET","ALL","2015","4.69"
"","CARINFONET","ALL","2016","4.81"
"","CARINFONET","ALL","2017","4.95"
"","CARINFONET","ALL","2018","5.07"
"","CARINFONET","ALL","2019","5.23"
"CHE","","ALL","1950","9.62"
"CHE","","ALL","1951","9.57"
"CHE","","ALL","1952","9.63"
"CHE","","ALL","1953","9.69"
"CHE","","ALL","1954","9.74"
"CHE","","ALL","1955","9.79"
"CHE","","ALL","1956","9.83"
"CHE","","ALL","1957","9.9"
"CHE","","ALL","1958","10"
"CHE","","ALL","1959","10.12"
"CHE","","ALL","1960","10.23"
"CHE","","ALL","1961","10.29"
"CHE","","ALL","1962","10.28"
"CHE","","ALL","1963","10.29"
"CHE","","ALL","1964","10.37"
"CHE","","ALL","1965","10.52"
"CHE","","ALL","1966","10.69"
"CHE","","ALL","1967","10.86"
"CHE","","ALL","1968","11.02"
"CHE","","ALL","1969","11.16"
"CHE","","ALL","1970","11.34"
"CHE","","ALL","1971","11.55"
"CHE","","ALL","1972","11.75"
"CHE","","ALL","1973","11.98"
"CHE","","ALL","1974","12.23"
"CHE","","ALL","1975","12.55"
"CHE","","ALL","1976","12.91"
"CHE","","ALL","1977","13.22"
"CHE","","ALL","1978","13.48"
"CHE","","ALL","1979","13.7"
